"km","price","any","car"
"49111","13390","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"66815","12490","2016","TOYOTA Yaris 1.5 Hybrid Active 5p."
"40696","12450","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"45888","13390","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"64000","12490","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"39096","12200","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"15500","13900","2018","TOYOTA Yaris 1.5 100H Advance 5p."
"29809","13500","2018","TOYOTA Yaris 1.5 Hybrid Feel 5p."
"80054","11900","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"45344","14000","2018","TOYOTA Yaris 1.5 Hybrid Feel 5p."
"62462","12990","2018","TOYOTA Yaris 1.5 Hybrid Active 5p."
"64000","13500","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"8435","15000","2019","TOYOTA Yaris 1.5 100H Feel 5p."
"9983","14800","2019","TOYOTA Yaris 1.5 100H Feel 5p."
"3850","15900","2020","TOYOTA Yaris 1.5 100H Feel 5p."
"35705","14900","2018","TOYOTA Yaris 1.5 Hybrid Active 5p."
"15205","11900","2016","TOYOTA Yaris 1.5 Hybrid Advance 5p."
"90000","9990","2015","TOYOTA Yaris Hybrid Active 5p."
"48177","14300","2017","TOYOTA Yaris 1.5 Hybrid Feel 5p."
"74000","12600","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"42021","14490","2017","TOYOTA Yaris 1.5 Hybrid Advance 5p."
"43926","12490","2017","TOYOTA Yaris 1.5 Hybrid Advance 5p."
"14171","11899","2016","TOYOTA Yaris 1.5 Hybrid Active 5p."
"40696","12450","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"20839","13799","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"75000","7500","2010","HONDA Insight 1.3 iVTEC IMA Executive 5p."
"47000","13500","2017","TOYOTA Yaris 1.5 Hybrid Advance 5p."
"8477","13900","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"15456","14900","2018","TOYOTA Yaris 1.5 Hybrid Active 5p."
"38000","11300","2015","TOYOTA Yaris Hybrid Active 5p."
"26500","10960","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"3400","20400","2020","TOYOTA Yaris 1.5 100H Feel 5p."
"41753","11400","2016","TOYOTA Yaris 1.5 Hybrid Active 5p."
"48252","11300","2016","TOYOTA Yaris 1.5 Hybrid Active 5p."
"39644","14490","2017","TOYOTA Yaris 1.5 Hybrid Feel 5p."
"14171","11899","2016","TOYOTA Yaris 1.5 Hybrid Active 5p."
"25246","13990","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"15456","14900","2018","TOYOTA Yaris 1.5 Hybrid Active 5p."
"72741","11890","2016","TOYOTA Yaris 1.5 Hybrid Active 5p."
"38700","12490","2016","TOYOTA Yaris Hybrid Active 5p."
"39096","12200","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"15500","13900","2018","TOYOTA Yaris 1.5 100H Advance 5p."
"29809","13500","2018","TOYOTA Yaris 1.5 Hybrid Feel 5p."
"80054","11900","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"45344","14000","2018","TOYOTA Yaris 1.5 Hybrid Feel 5p."
"62462","12990","2018","TOYOTA Yaris 1.5 Hybrid Active 5p."
"64000","13500","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"8435","15000","2019","TOYOTA Yaris 1.5 100H Feel 5p."
"9983","14800","2019","TOYOTA Yaris 1.5 100H Feel 5p."
"3850","15900","2020","TOYOTA Yaris 1.5 100H Feel 5p."
"35705","14900","2018","TOYOTA Yaris 1.5 Hybrid Active 5p."
"15205","11900","2016","TOYOTA Yaris 1.5 Hybrid Advance 5p."
"90000","9990","2015","TOYOTA Yaris Hybrid Active 5p."
"48177","14300","2017","TOYOTA Yaris 1.5 Hybrid Feel 5p."
"74000","12600","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"42021","14490","2017","TOYOTA Yaris 1.5 Hybrid Advance 5p."
"43926","12490","2017","TOYOTA Yaris 1.5 Hybrid Advance 5p."
"14171","11899","2016","TOYOTA Yaris 1.5 Hybrid Active 5p."
"40696","12450","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"20839","13799","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"75000","7500","2010","HONDA Insight 1.3 iVTEC IMA Executive 5p."
"47000","13500","2017","TOYOTA Yaris 1.5 Hybrid Advance 5p."
"8477","13900","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"15456","14900","2018","TOYOTA Yaris 1.5 Hybrid Active 5p."
"38000","11300","2015","TOYOTA Yaris Hybrid Active 5p."
"26500","10960","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"3400","20400","2020","TOYOTA Yaris 1.5 100H Feel 5p."
"41753","11400","2016","TOYOTA Yaris 1.5 Hybrid Active 5p."
"48252","11300","2016","TOYOTA Yaris 1.5 Hybrid Active 5p."
"39644","14490","2017","TOYOTA Yaris 1.5 Hybrid Feel 5p."
"84196","11290","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"40696","12450","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"80500","9500","2012","TOYOTA Yaris Hybrid Active 5p."
"36148","13200","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"14171","11899","2016","TOYOTA Yaris 1.5 Hybrid Active 5p."
"39096","12200","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"15500","13900","2018","TOYOTA Yaris 1.5 100H Advance 5p."
"29809","13500","2018","TOYOTA Yaris 1.5 Hybrid Feel 5p."
"80054","11900","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"45344","14000","2018","TOYOTA Yaris 1.5 Hybrid Feel 5p."
"62462","12990","2018","TOYOTA Yaris 1.5 Hybrid Active 5p."
"64000","13500","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"8435","15000","2019","TOYOTA Yaris 1.5 100H Feel 5p."
"9983","14800","2019","TOYOTA Yaris 1.5 100H Feel 5p."
"3850","15900","2020","TOYOTA Yaris 1.5 100H Feel 5p."
"35705","14900","2018","TOYOTA Yaris 1.5 Hybrid Active 5p."
"15205","11900","2016","TOYOTA Yaris 1.5 Hybrid Advance 5p."
"90000","9990","2015","TOYOTA Yaris Hybrid Active 5p."
"48177","14300","2017","TOYOTA Yaris 1.5 Hybrid Feel 5p."
"74000","12600","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"42021","14490","2017","TOYOTA Yaris 1.5 Hybrid Advance 5p."
"43926","12490","2017","TOYOTA Yaris 1.5 Hybrid Advance 5p."
"14171","11899","2016","TOYOTA Yaris 1.5 Hybrid Active 5p."
"40696","12450","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"20839","13799","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"75000","7500","2010","HONDA Insight 1.3 iVTEC IMA Executive 5p."
"47000","13500","2017","TOYOTA Yaris 1.5 Hybrid Advance 5p."
"8477","13900","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"15456","14900","2018","TOYOTA Yaris 1.5 Hybrid Active 5p."
"38000","11300","2015","TOYOTA Yaris Hybrid Active 5p."
"26500","10960","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"3400","20400","2020","TOYOTA Yaris 1.5 100H Feel 5p."
"41753","11400","2016","TOYOTA Yaris 1.5 Hybrid Active 5p."
"48252","11300","2016","TOYOTA Yaris 1.5 Hybrid Active 5p."
"39644","14490","2017","TOYOTA Yaris 1.5 Hybrid Feel 5p."
"41034","11899","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"80000","11900","2015","TOYOTA Yaris Hybrid Active 5p."
"20839","13799","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"66815","12490","2016","TOYOTA Yaris 1.5 Hybrid Active 5p."
"73000","11900","2016","TOYOTA Yaris 1.5 Hybrid Active 5p."
"39096","12200","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"15500","13900","2018","TOYOTA Yaris 1.5 100H Advance 5p."
"29809","13500","2018","TOYOTA Yaris 1.5 Hybrid Feel 5p."
"80054","11900","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"45344","14000","2018","TOYOTA Yaris 1.5 Hybrid Feel 5p."
"62462","12990","2018","TOYOTA Yaris 1.5 Hybrid Active 5p."
"64000","13500","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"8435","15000","2019","TOYOTA Yaris 1.5 100H Feel 5p."
"9983","14800","2019","TOYOTA Yaris 1.5 100H Feel 5p."
"3850","15900","2020","TOYOTA Yaris 1.5 100H Feel 5p."
"35705","14900","2018","TOYOTA Yaris 1.5 Hybrid Active 5p."
"15205","11900","2016","TOYOTA Yaris 1.5 Hybrid Advance 5p."
"90000","9990","2015","TOYOTA Yaris Hybrid Active 5p."
"48177","14300","2017","TOYOTA Yaris 1.5 Hybrid Feel 5p."
"74000","12600","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"42021","14490","2017","TOYOTA Yaris 1.5 Hybrid Advance 5p."
"43926","12490","2017","TOYOTA Yaris 1.5 Hybrid Advance 5p."
"14171","11899","2016","TOYOTA Yaris 1.5 Hybrid Active 5p."
"40696","12450","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"20839","13799","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"75000","7500","2010","HONDA Insight 1.3 iVTEC IMA Executive 5p."
"47000","13500","2017","TOYOTA Yaris 1.5 Hybrid Advance 5p."
"8477","13900","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"15456","14900","2018","TOYOTA Yaris 1.5 Hybrid Active 5p."
"38000","11300","2015","TOYOTA Yaris Hybrid Active 5p."
"26500","10960","2017","TOYOTA Yaris 1.5 Hybrid Active 5p."
"3400","20400","2020","TOYOTA Yaris 1.5 100H Feel 5p."
"41753","11400","2016","TOYOTA Yaris 1.5 Hybrid Active 5p."
"48252","11300","2016","TOYOTA Yaris 1.5 Hybrid Active 5p."
"39644","14490","2017","TOYOTA Yaris 1.5 Hybrid Feel 5p."